Item type,Authors,Title,Journal,Publication year,Volume,Issue,Pages,Publisher,Date published,URLs,DOI,PMID,PMC ID,Abstract,Keywords
Journal Article,"Boff RM,Liboni RP,Batista IP,de Souza LH,Oliveira MS",Weight loss interventions for overweight and obese adolescents: a systematic review,Eating and Weight Disorders,2017,22,2,211-229,Springer Nature,2017,http://dx.doi.org/10.1007/s40519-016-0309-1;https://www.ncbi.nlm.nih.gov/pubmed/27542161,10.1007/s40519-016-0309-1,27542161,,"PURPOSE: To determine what factors contribute to the efficacy of non-drug treatments designed to promote weight loss in overweight and obese adolescents. METHODS: Data sources Medline/PubMed; Psychinfo; EMBASE; Web of Science (ISI); and Cochrane Central Register of Controlled Trials. Study selection Randomized clinical trials of treatments for obesity and overweight in adolescents aged 10-19 years with a minimum duration of 2 months. Data extraction 115 of the 12,948 publications retrieved met eligibility criteria and 26 were included in the final sample. Period of extraction January 2004 to November 2014. RESULTS: The Delphi list was used to evaluate the methodological quality of the studies (M = 5.58, SD = 1.027). There was considerable variability between the interventions, but they were all multifactorial, with components such as nutritional education, physical activity, family support and psychological therapy. The number of contacts with subjects during the course of the intervention was a predictor of treatment efficacy when the groups were compared. Limitations This systematic review was limited to trials reported in English and by the lack of methodological rigor and shortcomings in reporting in the studies reviewed. CONCLUSIONS: Multidisciplinary interventions including family support and guided behavior modification appear to be effective methods of reducing BMI in overweight and obese adolescents.",Adolescents; Controlled trial; Obesity; Overweight; Systematic review; Treatment
Journal Article,"Jayawardena R,Ranasinghe P,Wijayabandara M,Hills AP,Misra A",Nutrition transition and obesity among teenagers and young adults in south Asia,Current Diabetes Reviews,2017,13,5,444-451,Bentham Science Publishers Ltd.,2017,http://dx.doi.org/10.2174/1573399812666160808100211;https://www.ncbi.nlm.nih.gov/pubmed/27501783,10.2174/1573399812666160808100211,27501783,,"INTRODUCTION: Obesity among teenagers/adolescents and young adults is associated with significant adverse short and longer-term effects on health. To date, no narrative reviews have evaluated nutrition transition and its contribution to the obesity epidemic among adolescents and young adults in the South Asian (SA) region. METHOD: Data were retrieved by a four-stage systematic search process. A search of the online Pub- Med/Medline, SciVerse Scopus and Web of Science databases was performed. The age groups were defined as follows; teenage:13-19 years, adolescence:10-18 years and young adult:19-24 years. RESULTS: Among teenagers/adolescents, the prevalence of overweight ranged from 11.0% (Sri Lanka) to 19.0% (India), while obesity ranged from 2.4% (Sri Lanka) to 11.0% (Pakistan). In young adults, prevalence of overweight ranged between 7.9% (Nepal) to 15.0% (Pakistan), while obesity showed a much wider variation (0.005%[Nepal] - 22.8%[India]). Nutritional risk factors associated with overweight/ obesity among SAs of this age group included reduced fruit and vegetable consumption, a total vegetarian diet, consumption of fast food and soft drinks, and skipping breakfast. Other contributing factors identified were: adding extra salt to meals, eating meals outside of the home, frequently visiting restaurants and eating while watching television. Daily milk/yoghurt consumption and a family supper have shown a protective effect against overweight/obesity. CONCLUSION: Overweight and obesity are common amongst teenagers/adolescents and young adults of the SA region. Several food types and habits were identified as being associated with overweight/ obesity in this population. Identifying common protective and contributory factors is very important for the development of a shared regional preventive strategy.",Adolescents; South Asia; nutrition transition; obesity; overweight; teenagers; young adults
Journal Article,Mashman W,The real thing,JACC. Cardiovascular Interventions,2010,3,5,568-569,Elsevier BV,2010,http://dx.doi.org/10.1016/j.jcin.2010.03.010;https://www.ncbi.nlm.nih.gov/pubmed/20488420,10.1016/j.jcin.2010.03.010,20488420,,,
Journal Article,"Caravalí-Meza NY,Jiménez-Cruz A,Bacardí-Gascón M",Estudio prospectivo sobre el efecto del consumo de bebidas azucaradas sobre la obesidad en un periodo de 12 meses en mexicanos de 15 a 19 años,Nutricion hospitalaria: organo oficial de la Sociedad Espanola de Nutricion Parenteral y Enteral,2016,33,2,102-102,ARAN Ediciones,2016,http://dx.doi.org/10.20960/nh.102;https://www.ncbi.nlm.nih.gov/pubmed/27238784,10.20960/nh.102,27238784,,"Antecedentes: se ha reportado una asociación entre el aumento del consumo de bebidas azucaradas y varias enfermedades metabólicas. Objetivo: evaluar el efecto del consumo de bebidas azucaradas sobre la obesidad en un periodo de 12 meses en mexicanos de 15 a 19 años. Métodos: el diseño del estudio fue prospectivo, con 12 meses de seguimiento. Se midieron el peso, la talla y la circunferencia de cintura (CC), y se calculó el puntaje z de índice de masa corporal (IMC). Se aplicó un cuestionario sobre consumo de 19 bebidas. Para evaluar la predicción del aumento de IMC y de CC como resultado del consumo de bebidas, se utilizó análisis de regresión logística binomial. Resultados: al final del estudio se evaluó al 89% (1.344). El promedio de edad fue de 15 años, 55% fueron mujeres. La prevalencia de sobre- peso y obesidad al final del estudio fue del 33%. Al final del estudio, un 25% de los participantes consumían más de 50 g de azúcar proveniente de las bebidas. Quienes consumieron 50 g de azúcar o más al día presentaron mayor riesgo de aumentar la CC ≥ 2 cm (RR = 1,19, IC 95%, 1,03-1,39, p = 0,02). Quienes mantuvieron el consumo de bebidas azucaradas durante 12 meses, al compararlo con los que disminuyeron el consumo a 10 g/día, presentaron 71% más probabilidades de aumentar a un puntaje de IMC ≥ 2 (RR = 1,71, IC 95%, 1,03-2,86, p = 0,039). Conclusión: el alto consumo de bebidas azucaradas aumentó las probabilidades de aumentar de peso y de circunferencia de cintura.",
Journal Article,"Bendor CD,Bardugo A,Pinhas-Hamiel O,Afek A,Twig G","Cardiovascular morbidity, diabetes and cancer risk among children and adolescents with severe obesity",Cardiovascular Diabetology,2020,19,1,79-79,Springer Science and Business Media LLC,2020,http://dx.doi.org/10.1186/s12933-020-01052-1;https://www.ncbi.nlm.nih.gov/pubmed/32534575;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7293793,10.1186/s12933-020-01052-1,32534575,PMC7293793,"Severe obesity among children and adolescents is a significant global public health concern. The prevalence has markedly increased over the last decades, becoming common in many countries. Overwhelming rates of obesity among youth have prompted efforts to identify an evidence-based immediate- and long-term cardiometabolic risk factor profile in childhood-onset severe obesity, and to highlight gaps that require further investigation. The PubMed database was systematically searched in accordance with PRISMA guidelines. The search yielded 831 results, of which 60 fulfilled stringent criteria and were summarized in this review. The definition of severe obesity was variable, with only one half the publications using the definition BMI > 120% of the 95th percentile. Point estimates of the prevalence of at least one cardiometabolic risk factor in children with severe obesity reportedly range from 67 to 86%. Cross-sectional studies indicate that children and adolescents with severe obesity are at greater risk than those with mild obesity for type 2 diabetes, hypertension, fatty liver disease and dyslipidemia, already at childhood and adolescence. Robust epidemiological data on the long-term risk and actual point estimates in adulthood are lacking for these diseases as well as for other diseases (coronary heart disease, stroke, chronic kidney disease and cancer). Recent longitudinal studies indicate an increased risk for cardiomyopathy, heart failure, cardiovascular mortality and all-cause mortality in adulthood for adolescents with severe obesity compared to those with mild obesity. Given the alarming increase in the prevalence of severe obesity, the persistence of adiposity from childhood to adulthood and the precarious course of young adults with chronic comorbidities, the economic and clinical services burden on the healthcare system is expected to rise.",Adolescence; Cancer; Cardiovascular; Diabetes; Hypertension; Morbid obesity; Mortality; NAFLD; Paediatrics; Severe obesity; Youth
Journal Article,"Huizing AH,Welten M,van der Pal S,Schönbeck Y,van Empelen P,Gaillard R,Jaddoe VW,van Buuren S",Predicting obesity at adolescence from an early age in a Dutch observational cohort study: the development and internal validation of a multivariable prediction model,BMC Pediatrics,2025,25,1,,,2025,http://dx.doi.org/10.1186/s12887-025-05661-1;https://www.scopus.com/pages/publications/105007450265?origin=resultslist,10.1186/s12887-025-05661-1,,,,
Journal Article,"Tsai YJ,Fan HY,Hsu SY,Lin YF,Su CT,Lin HR,Chen YC",Varied effects of sweeteners on pediatric hypertension: A multicenter study,Clinical Nutrition,2025,53,,199-210,,2025,http://dx.doi.org/10.1016/j.clnu.2025.08.034;https://www.scopus.com/pages/publications/105015422587?origin=resultslist,10.1016/j.clnu.2025.08.034,,,,
Journal Article,"Alves-Costa S,Nascimento GG,de Souza BF,Hugo FN,Leite FR,Ribeiro CC","Global, regional, and national burden of high sugar-sweetened beverages consumption, 1990–2021, with projections up to 2050: a systematic analysis for the Global Burden of Disease Study 2021",American Journal of Clinical Nutrition,2025,122,5,1413-1422,,2025,http://dx.doi.org/10.1016/j.ajcnut.2025.07.033;https://www.scopus.com/pages/publications/105014807288?origin=resultslist,10.1016/j.ajcnut.2025.07.033,,,,
Journal Article,"Peraki S,Bouloukaki I,Christodoulakis A,Vavoulas D,Tsiligianni I",Influence of Parental Lifestyle and Dietary Patterns on Mediterranean Diet Adherence in Children and Adolescents: A Cross-Sectional Study,Nutrients,2026,18,10,,,2026,http://dx.doi.org/10.3390/nu18101576;https://www.scopus.com/pages/publications/105040274778?origin=resultslist,10.3390/nu18101576,,,,
Journal Article,"Cohen CC,Dabelea D,Davy BM,Glueck DH,Newton KP,Perng W,Welsh JA,Schwimmer JB,Vos MB",Responsiveness of the Serum Carbon Isotope Ratio to Dietary Added Sugar Reduction in a Randomized Controlled Trial among Youth with Steatotic Liver Disease,Journal of Nutrition,2025,155,10,3496-3505,,2025,http://dx.doi.org/10.1016/j.tjnut.2025.08.006;https://www.scopus.com/pages/publications/105015516465?origin=resultslist,10.1016/j.tjnut.2025.08.006,,,,
Journal Article,"Valle-Hita C,Joensen A,Bjerregaard AA,Babio N,Strandberg-Larsen K,Guasch-Ferré M","Sugar- and artificially sweetened beverages consumption, body weight, and eating disorders symptoms: findings from a Danish cohort from childhood to early adulthood",European Journal of Nutrition,2026,65,1,,,2026,http://dx.doi.org/10.1007/s00394-025-03869-6;https://www.scopus.com/pages/publications/105028127880?origin=resultslist,10.1007/s00394-025-03869-6,,,,
Journal Article,"Minari TP,Pisani LP",Unraveling the connection between the Mediterranean diet and sleep health: from biological mechanisms to clinical implications,Sleep and Breathing,2025,29,6,,,2025,http://dx.doi.org/10.1007/s11325-025-03546-2;https://www.scopus.com/pages/publications/105023334845?origin=resultslist,10.1007/s11325-025-03546-2,,,,
Journal Article,"Beets MW,Burkart S,Pfledderer CD,Adams E,Weaver RG,Armstrong B,Brazendale K,Zhu X,McLain A,Turner-McGrievy G,Pate R,Kaczynski A,Fairchild A,Saelens B,Parker H,Yaroch AL,Eglitis E,Holmes AJ",Differences in children’s food and beverage consumption between school and summer: three-year findings from the what’s UP (Undermining Prevention) with summer observational cohort study,BMC Public Health,2025,25,1,,,2025,http://dx.doi.org/10.1186/s12889-025-23446-0;https://www.scopus.com/pages/publications/105010507113?origin=resultslist,10.1186/s12889-025-23446-0,,,,
Journal Article,"Tranby B,Sia I,Clark M,Novotny P,Lohr A,Suarez Pardo L,Patten C,Iteghete S,Zeratsky K,Rieck T,Molina L,Porraz Capetillo G,Ahmed Y,Dirie H,Wieland M",Self-Efficacy Is Associated with Health Behaviors Related To Obesity and Cardiovascular Risk Among Hispanic/Latinx and Somali Immigrants To the United States,Journal of Immigrant and Minority Health,2026,28,3,603-611,,2026,http://dx.doi.org/10.1007/s10903-025-01812-9;https://www.scopus.com/pages/publications/105024688207?origin=resultslist,10.1007/s10903-025-01812-9,,,,
Journal Article,"Szymanski J,Dudek P,Rajwa P,Krajewski W,Bryniarski P,Krzanowska K,Chlosta P,Przydacz M","Diet and stones: Associations from a large, population-representative study of urolithiasis and renal colic-like pain symptoms in Poland",PLOS ONE,2026,21,2 February,,,2026,http://dx.doi.org/10.1371/journal.pone.0333733;https://www.scopus.com/pages/publications/105029520776?origin=resultslist,10.1371/journal.pone.0333733,,,,
